,YEAR 2014,,YEAR 2015,,YEAR 2016,,YEAR 2017,,YEAR 2018,
WARD,Births,Deaths,Births,Deaths,Births,Deaths,Births,Deaths,Births,Deaths
A,4246,1995,4556,1742,6628,1986,7074,2356,6080,2206
B,2049,1019,1919,930,3057,676,3109,851,2712,772
C,1165,1154,1242,1249,177,1370,217,646,343,694
D,3549,3041,3199,2818,4688,2716,4493,3147,4756,3288
E,7324,6518,7892,7429,8334,9890,8376,9084,7906,9302
F/S,5917,7203,5943,6654,12273,9546,12071,11148,11992,11028
F/N,10081,5760,9217,5584,13019,6506,12889,8019,10436,7221
G/S,4179,2785,4017,2921,1593,1304,1498,1226,1361,1344
G/N,7023,5168,7285,4402,3078,3087,3587,2818,3163,2940
"CITY
BUREAU,45533,34643,45270,33729,52847,37081,53314,39295,48749,38795"
H/E,7050,3214,6930,3323,3629,2164,3818,2133,3371,2014
H/W,4599,3202,4028,3181,6266,4413,6208,3892,5833,3526
K/E,10819,5532,10370,5683,8915,4709,9156,4655,9013,4574
K/W,9500,4730,10145,5244,11754,5339,12061,5730,12381,5743
P/S,6527,2884,6599,3883,4279,2583,4053,2413,4205,2217
P/N,14141,5687,12756,5394,6986,3397,7119,3684,8569,4253
R/S,9406,3884,11020,4044,10321,3677,10026,3877,9964,3998
R/C,7191,3716,6811,3936,6659,3257,6876,3249,6494,3286
R/N,4775,2660,4657,2860,2189,2188,2553,2495,3570,2972
"WEST.
SUBURB,74008,35509,73316,37548,60998,31727,61870,32128,63400,32583"
L,13162,4501,12915,4636,7602,2451,8054,2506,8781,2830
M/E,14675,4320,15208,4671,6810,2464,7380,2497,7005,2587
M/W,5095,3006,5397,2830,2532,2285,2420,2101,2274,2251
N,8004,4195,7865,4164,11687,4974,12119,5022,11412,4077
S,8903,4256,10328,4282,6319,3091,6053,2876,5729,3194
T,4704,2824,4603,2846,4157,2569,4176,2612,3837,2535
"EAST.
SUBURB,54543,23102,56316,23429,39107,17834,40202,17614,39038,17474"
"TOTAL
MUMBAI,174084,93254,174902,94706,152952,86642,155386,89037,151187,88852"
