WARD,TOTAL DEMAND,CONSUMPTION,,,,,,,,
,,,,,,,,,,
A-ward,953910636,23591958,,,,,,,,
B-ward,190762256,4145267,,,,,,,,
C-ward,102910150,2484867,,,,,,,,
D-ward,646047207,26189490,,,,,,,,
E-ward,531357921,17046105,,,,,,,,
F/North-ward,538748208,29959845,,,,,,,,
F/South-ward,408544963,18558796,,,,,,,,
G/North-ward,400166464,20811382,,,,,,,,
G/South-ward,608174494,20188494,,,,,,,,
H/East-ward,795321430,32479860,,,,,,,,
H/West-ward,450296754,25523503,,,,,,,,
J-Tansa,3133825,413361,,,,,,,,
J-Vaitarna,213717,73250,,,,,,,,
J-ward,298313417,53453874,,,,,,,,
K/East-ward,1283631468,56695973,,,,,,,,
K/West-ward,959282996,54997122,,,,,,,,
L-ward,869622197,46100488,,,,,,,,
M/East-ward,791865357,35185903,,,,,,,,
M/West-ward,906366716,29686995,,,,,,,,
N-ward,594827216,37349534,,,,,,,,
P/North-ward,633343851,48845131,,,,,,,,
P/South-ward,628244301,32862264,,,,,,,,
R/Central-,541816168,39811784,,,,,,,,
R/North-ward,310357026,25380346,,,,,,,,
R/South-ward,541327341,43500151,,,,,,,,
S-ward,685967931,51611818,,,,,,,,
T-ward,468482633,28811579,,,,,,,,
